cod_imovel;municipio;cod_estado;num_area;mod_fiscal;ind_status;geometry
MG-3101607-25DFBC957DA64FB7A49E987E68B8CA06;Alfenas;MG;3.1328;0.1205;AT;MULTIPOLYGON (((-45.932046175003 -21.3613928061118, -45.9311234951019 -21.3616525921812, -45.9305226802826 -21.3611130359834, -45.9299433231354 -21.360693379789, -45.9297072887421 -21.3602937061053, -45.9296000003815 -21.3597141773271, -45.9299218654633 -21.3592345655701, -45.930587053299 -21.3596742097407, -45.9311234951019 -21.3600139338779, -45.931144952774 -21.3605135267663, -45.9317672252655 -21.360893216222, -45.932046175003 -21.3613928061118)))
MG-3101607-3D8CE2070A434E1ABB9DB43252FC5711;Alfenas;MG;98.3655;3.7833;AT;MULTIPOLYGON (((-45.9315633773804 -21.4128014804235, -45.9337949752808 -21.412961292661, -45.9346532821655 -21.4136404927202, -45.9350395202637 -21.4141199261551, -45.934910774231 -21.4146393106007, -45.9346961975098 -21.4152785504605, -45.9343957901001 -21.4158778352887, -45.9336233139038 -21.4169565417841, -45.9281301498413 -21.4151187407578, -45.923752784729 -21.4128014804235, -45.9229803085327 -21.4096051989656, -45.9216070175171 -21.4083266668062, -45.921950340271 -21.4056097488282, -45.9232378005981 -21.4047307351396, -45.9247827529907 -21.4043311817154, -45.9274435043335 -21.403691893965, -45.9286022186279 -21.4037718050868, -45.9289884567261 -21.40417136004, -45.9288167953491 -21.4046508245422, -45.9297609329224 -21.4101245994601, -45.9280014038086 -21.4115629296559, -45.9283876419067 -21.412361995869, -45.9305763244629 -21.4108038127058, -45.9315633773804 -21.4128014804235)))
MG-3101607-F869EFE526524B439F6B580BB6226075;Alfenas;MG;0.5417;0.0208;AT;MULTIPOLYGON (((-45.9610676765442 -21.4480558183731, -45.9609067440033 -21.4473568066163, -45.9616148471832 -21.447236975693, -45.9618186950684 -21.4473368348026, -45.961754322052 -21.4476763552637, -45.9610676765442 -21.4480558183731)))
MG-3101607-1EE87A99814F4A6E8E9FF9FFAFEBC4D2;Alfenas;MG;7.8826;0.3032;AT;MULTIPOLYGON (((-45.8695077896118 -21.4225896573881, -45.8687353134155 -21.4231289868466, -45.8681559562683 -21.4234585760907, -45.867383480072 -21.4241177523471, -45.8673191070557 -21.4238181271449, -45.8664929866791 -21.42399790234, -45.8661282062531 -21.4239679398228, -45.8660960197449 -21.4237582020307, -45.8660960197449 -21.4236783018401, -45.8660799264908 -21.4234785511725, -45.8652967214584 -21.4205521725692, -45.8667290210724 -21.4202125890025, -45.8674854040146 -21.4219404618796, -45.867925286293 -21.4227944030653, -45.8681237697601 -21.4230291111713, -45.8695077896118 -21.4225896573881)))
MG-3101607-69350A916E724BAC815800071E50E33C;Alfenas;MG;6.1665;0.2372;AT;MULTIPOLYGON (((-45.9804993526269 -21.2141958373539, -45.9798648027795 -21.2140870535965, -45.9796165330732 -21.213986624958, -45.9809252604332 -21.2124120686942, -45.9815245419679 -21.2116465249853, -45.9821992655477 -21.2118480291129, -45.9828719536492 -21.2122400639454, -45.9831586636439 -21.2127297328639, -45.9822050494952 -21.213745423473, -45.9811428008144 -21.2146669281602, -45.9804993526269 -21.2141958373539)))
MG-3101607-D97826C115DE468FBA9716BAE791FC3E;Alfenas;MG;3.4634;0.1332;AT;MULTIPOLYGON (((-45.8778548240662 -21.521967364564, -45.8778709173203 -21.5219548885769, -45.8778870105743 -21.5219349269954, -45.8779406547546 -21.5219024894195, -45.8790028095245 -21.5216230269275, -45.8791369199753 -21.5218176526484, -45.8792924880981 -21.5219573837744, -45.879442691803 -21.522107095546, -45.8796036243439 -21.5223466340597, -45.8797752857208 -21.5227358833021, -45.8799308538437 -21.5231051700809, -45.8794373273849 -21.5232648613702, -45.8785092830658 -21.5234994076331, -45.8784180879593 -21.5235293496819, -45.8778440952301 -21.5230452858022, -45.8773934841156 -21.5226161144155, -45.8776026964188 -21.5223316629142, -45.8777904510498 -21.5220322396795, -45.8778548240662 -21.521967364564)))
MG-3101607-1AD916F6288042BC8F2637B1E2F28DCC;Alfenas;MG;8.712;0.33;AT;MULTIPOLYGON (((-46.004622614018 -21.2260398863425, -46.0026498492871 -21.226004882892, -46.0027142223034 -21.2255848408294, -46.0027142223034 -21.2254048224364, -46.0026927646307 -21.2251847996575, -46.0027249511389 -21.2249447744339, -46.0027356799752 -21.2247347520429, -46.0027544554375 -21.2242647008457, -46.0027785953198 -21.223854654962, -46.0028644260079 -21.2233245939601, -46.0029475744865 -21.2226770168493, -46.0029395278606 -21.2224444884672, -46.0029287990243 -21.2222344625169, -46.003003900877 -21.222084443798, -46.0048854705006 -21.2222644662424, -46.0048747416652 -21.222739524416, -46.0047406312143 -21.2243947151566, -46.004622614018 -21.2260398863425)))
MG-3101607-35000B337AFE4CFBB1DD33AE3421C235;Alfenas;MG;29.0495;1.12;AT;MULTIPOLYGON (((-45.8868937548442 -21.4946779803624, -45.887027865295 -21.4935798833154, -45.8871673401641 -21.4925167178248, -45.8873765524677 -21.4925915888878, -45.8877842482375 -21.4927812620766, -45.8881704863356 -21.4927812620766, -45.8883260544582 -21.492766287886, -45.8884762581627 -21.4928062190565, -45.8886425551218 -21.4929110383256, -45.8888678606799 -21.493120676639, -45.889087801818 -21.493290383623, -45.8893935736461 -21.4935798833154, -45.8896832522196 -21.4938693824326, -45.8898227270886 -21.4942187771509, -45.8903484400557 -21.4940890020682, -45.8906917628093 -21.4939791922914, -45.8914964255135 -21.493709658853, -45.8929877337257 -21.4931705904782, -45.8951764162814 -21.492381949813, -45.8950798567569 -21.4929310038928, -45.8950154837405 -21.4934401249152, -45.8949940260687 -21.4937495897645, -45.895058399085 -21.4940890020682, -45.8950476702487 -21.494538223017, -45.8950905855932 -21.4949075814242, -45.8951013144296 -21.4952370084022, -45.8949403818887 -21.4954965564055, -45.8947740849288 -21.4956862258064, -45.8945112284461 -21.4958359646329, -45.8939104136272 -21.4961054941323, -45.8932344969557 -21.4964249358558, -45.8925478514477 -21.4967244118341, -45.8921723421851 -21.496874149592, -45.8915178831862 -21.4970039221912, -45.8904879149248 -21.4972634670414, -45.890080219154 -21.4973732743385, -45.8884923514173 -21.4959857033053, -45.8873980101395 -21.4950872689592, -45.8871297892377 -21.4948726421554, -45.8868937548442 -21.4946779803624)))
MG-3101607-3E1A27645F854F4888F5D9D723B1043D;Alfenas;MG;4.3026;0.17;AT;MULTIPOLYGON (((-45.864285325 -21.308122160467, -45.8640063972222 -21.3076637410226, -45.8636332388889 -21.3076205660226, -45.8635999527778 -21.3078634243559, -45.8635783916667 -21.3079883465781, -45.8635664277778 -21.3080377993559, -45.8635455277778 -21.3081091188004, -45.863473075 -21.3083071826892, -45.8634294805556 -21.3084018743559, -45.8634045222222 -21.3084547993559, -45.8629934027778 -21.3085418049115, -45.8627819055556 -21.3085898438003, -45.8625537027778 -21.3086428549115, -45.8617942555556 -21.3088004882448, -45.8616841555556 -21.3088388438003, -45.8615829472222 -21.3088726160226, -45.8615730027778 -21.308876660467, -45.8613960833333 -21.3089353160226, -45.8612351166667 -21.3089921549114, -45.8610652444444 -21.3090524993559, -45.8611149166667 -21.3090956993559, -45.861188775 -21.3091549410226, -45.8612194944444 -21.3091901549114, -45.8612713083333 -21.3092034965781, -45.8613016805556 -21.309207160467, -45.8613487083333 -21.3092567743559, -45.8613824638889 -21.309253710467, -45.8613895138889 -21.3092276188003, -45.8614384138889 -21.3091811660226, -45.8615235361111 -21.3092327688003, -45.8615706222222 -21.309298360467, -45.8616029111111 -21.3093960938003, -45.8615997638889 -21.309514635467, -45.8615924694444 -21.3095814299114, -45.8615651027778 -21.3096168771337, -45.8615849472222 -21.309680260467, -45.8616638722222 -21.3096919549114, -45.8617286 -21.3097673215781, -45.86171185 -21.3098246771336, -45.8616964694444 -21.3098723326892, -45.8617787611111 -21.3099075521336, -45.8618251694444 -21.3099682076892, -45.86185385 -21.3100418910225, -45.8618316055556 -21.3100500549114, -45.8618414055556 -21.3101235021336, -45.8618363722222 -21.3102043410225, -45.8618246666667 -21.3102584632447, -45.8618753361111 -21.3102629938003, -45.8619393472222 -21.310291285467, -45.8620279527778 -21.3103068882447, -45.8620776416667 -21.3103228938003, -45.8621185333333 -21.3103611910225, -45.8621387722222 -21.3104065493559, -45.8621269388889 -21.3104339660225, -45.8620959416667 -21.3104718271336, -45.8621317944444 -21.3105274299114, -45.8621688916667 -21.3105931465781, -45.8622268972222 -21.310593835467, -45.8623421222222 -21.3105775688003, -45.8624403722222 -21.310657635467, -45.8625669305556 -21.3107480465781, -45.86260175 -21.310806710467, -45.8634701555556 -21.309599060467, -45.8633226361111 -21.3092841576892, -45.8633460027778 -21.3090130549114, -45.8634801055556 -21.3089049021337, -45.8636842305556 -21.3088244299114, -45.8638651277778 -21.3085901576892, -45.864285325 -21.308122160467)))
MG-3101607-757C602E15434178BE66A15E2D91456A;Alfenas;MG;7.327;0.28;AT;MULTIPOLYGON (((-46.087126022197 -21.4302456083339, -46.0877161081805 -21.4303354920019, -46.0882740076548 -21.4303754402805, -46.0887568052774 -21.430445349743, -46.089379077769 -21.4305651944574, -46.0900442656051 -21.4307150002121, -46.0905485208995 -21.4309047539476, -46.090784555293 -21.431124468491, -46.0909776743421 -21.4312642866642, -46.0911171492102 -21.4314240786987, -46.0913424547674 -21.4316338054781, -46.091578489161 -21.4319134407148, -46.091632133341 -21.43176363619, -46.0917823370463 -21.4312343256383, -46.0918574388981 -21.4307549483876, -46.0919218119145 -21.430415388549, -46.091964727259 -21.4296763438177, -46.0915463026528 -21.4296663567008, -46.0907738264567 -21.4296264082273, -46.090205198146 -21.4295564983735, -46.0896687563425 -21.4294566270946, -46.0890250261791 -21.4293467686095, -46.0886387880811 -21.4292768586209, -46.0879736002458 -21.4291370385441, -46.0872654970661 -21.4290171926572, -46.0872225817215 -21.429186974301, -46.0871903952134 -21.4294266656977, -46.087179666377 -21.4297961891635, -46.0871367510334 -21.4299959311875, -46.087126022197 -21.4302456083339)))
